,PProd,WGT,GS,GP,PAN,GS_per_game,AST%_college,AST%_nba,MP,DRB%_nba,BENCH,DRB%_college,PTS_nba,STNDRCH,MP_per_game,G_per_game,PER_college,TRB%_nba,PBHGT,TRB%_college,USG%_nba,ORB%_college,USG%_college,PDHGT,FGA_nba
BENCH,-0.08737191587848593,0.4402412523022021,0.07085144995282507,-0.11941531987042606,0.08333794226683017,-0.15456119254831593,-0.21289835615040684,-0.17373204791296756,-0.0516148709871551,0.20049524292391274,1.0,0.16401844132302046,-0.035881900634807805,0.05247102132160386,-0.1826727228440075,-0.1353074516790847,0.18947129300021714,0.2433792277404604,0.3320304459417895,0.20723772210857913,-0.03619083498798568,0.2592700932281109,0.059416967402706036,0.2969731857165605,-0.058403524198835155
DRB%_college,-0.06496169114593281,0.4321899663863868,0.05568515874214817,0.045442340557008215,0.4968801186857517,0.1216164262490512,-0.46531534286715087,-0.37721533443932054,-0.17609636807123522,0.643822077183878,0.16401844132302046,1.0,-0.14348590973430148,0.6459203545264127,-0.13890623996417317,0.07016562374287834,0.4111279543149035,0.6285690905568935,0.48022906946590155,0.9554311822209474,-0.16931930363891365,0.7751242673986378,0.06023165766054674,0.4432097926705398,-0.2080285984927716
PTS_nba,0.045660424249676965,-0.09523386488678931,0.7569985765883392,0.5175603789060689,-0.2042839659573219,-0.20860852861017767,0.11736540746585546,0.44862616083379714,0.8859474145094658,-0.2305553976686175,-0.035881900634807805,-0.14348590973430148,1.0,-0.2659027111377394,0.030393249248866112,-0.20015111766569696,0.11612425911767872,-0.2685174625568536,-0.1718813138956128,-0.13979973828901082,0.8639065434627778,-0.12659310513317978,0.28149528933714085,-0.10864949426902355,0.9806833492641827
STNDRCH,-0.32285375151467915,0.5141228131102111,-0.10102349474008153,-0.04450582863172477,0.5427617528015629,-0.05706335624384261,-0.6143000890239732,-0.5950585928842531,-0.3127175322282249,0.7961313658934412,0.05247102132160386,0.6459203545264127,-0.2659027111377394,1.0,-0.3727264137564357,0.03967655498501924,0.1699949696576838,0.7943083826702841,0.7790206952825426,0.7222062624430972,-0.28990644346037603,0.7151316241192032,-0.2073434435315287,0.7345085801574668,-0.3618320701130385
MP_per_game,0.7530295020000478,-0.24121290299944315,0.09656202804835053,0.08691300612142557,-0.21263735733951933,0.7415084122302065,0.4157602459846525,0.28390678422487414,0.10200226883213506,-0.30525628779162084,-0.1826727228440075,-0.13890623996417317,0.030393249248866112,-0.3727264137564357,1.0,0.3078575310952056,0.21641021525361348,-0.24420931241254695,-0.29107366418986375,-0.20682967891921303,0.020770399092754264,-0.2671511593597631,0.3416609704189368,-0.26958004266255003,0.062409043904687635
G_per_game,0.5559197204605065,0.19000272738248608,-0.1338669270641801,0.06309896740179237,-0.07818988564787786,0.5456325074693732,-0.11949742618242028,-0.12472867325904986,-0.15365824398672856,0.04852948592914665,-0.1353074516790847,0.07016562374287834,-0.20015111766569696,0.03967655498501924,0.3078575310952056,1.0,0.01883126853859838,0.05669529540205965,-0.06265412767206131,0.11134077363816397,-0.10329875611926422,0.12565042858405356,-0.0019814947828783345,0.03406138205240959,-0.1850959959421739
PER_college,0.4761632121333443,0.17711770682914263,0.08755153651269507,-0.004913708579520052,-0.047750362750359286,0.21444096570001087,0.054809174969297166,-0.00982397012745444,0.03408422066188418,0.21908833977821188,0.18947129300021714,0.4111279543149035,0.11612425911767872,0.1699949696576838,0.21641021525361348,0.01883126853859838,1.0,0.25347082829430384,0.11010267270525063,0.44914293052866383,0.15606995105866114,0.41609017584616664,0.5713940542022523,0.06747865972558492,0.08825442170254158
TRB%_nba,-0.19983891543659704,0.49242087900931103,-0.10863247794871908,-0.06587004706796282,0.5603162401876483,0.04487724437614691,-0.5705377303048285,-0.4636247932669804,-0.34668120561088245,0.9705614075977231,0.2433792277404604,0.6285690905568935,-0.2685174625568536,0.7943083826702841,-0.24420931241254695,0.05669529540205965,0.25347082829430384,1.0,0.7120491974358876,0.720374729423581,-0.21801260444447934,0.7409508208657735,-0.18327047358797957,0.6197424317305161,-0.36597295898378496
PBHGT,-0.32782428277995196,0.6403217301521311,0.03977260102774164,-0.10229495231146234,0.4241325185689439,-0.08257174407469979,-0.6636407092609325,-0.6246499371905126,-0.16151026335555208,0.6813561062488667,0.3320304459417895,0.48022906946590155,-0.1718813138956128,0.7790206952825426,-0.29107366418986375,-0.06265412767206131,0.11010267270525063,0.7120491974358876,1.0,0.5717717117099982,-0.29507477564020873,0.6259600285727946,-0.10884309124379439,0.8993141546069147,-0.26225306401049137
TRB%_college,-0.07896283103480073,0.5003647615536577,0.058145926285638416,0.042601332300893746,0.5167453725961129,0.11273540224098245,-0.5621455112625082,-0.4463707678195364,-0.17578958240027268,0.7206105844035446,0.20723772210857913,0.9554311822209474,-0.13979973828901082,0.7222062624430972,-0.20682967891921303,0.11134077363816397,0.44914293052866383,0.720374729423581,0.5717717117099982,1.0,-0.17345977817294359,0.924799993055987,0.006329681011955533,0.5158578585093796,-0.21805523696410883
USG%_nba,0.13604776651306857,-0.14181372588845967,0.45620218252976436,0.256643993880958,-0.2558586855277442,-0.13460111328764054,0.22868259621651124,0.5075196214839133,0.6225405137626429,-0.17183816874022625,-0.03619083498798568,-0.16931930363891365,0.8639065434627778,-0.28990644346037603,0.020770399092754264,-0.10329875611926422,0.15606995105866114,-0.21801260444447934,-0.29507477564020873,-0.17345977817294359,1.0,-0.1668999788995486,0.35270320343071876,-0.19562963012753345,0.8818258320560804
ORB%_college,-0.10553289036683958,0.5195658299008065,0.05307158567130441,0.02613518766178859,0.47638707221436,0.0789530144424137,-0.6186081361799192,-0.48164084079371927,-0.15878305795058734,0.7177792012423571,0.2592700932281109,0.7751242673986378,-0.12659310513317978,0.7151316241192032,-0.2671511593597631,0.12565042858405356,0.41609017584616664,0.7409508208657735,0.6259600285727946,0.924799993055987,-0.1668999788995486,1.0,-0.07788989506209794,0.5517033124876446,-0.2120949711132015
USG%_college,0.6298049781838371,-0.02316654103032423,0.21250084676341136,0.1047202283906407,-0.21025946091827905,0.25530910551018754,0.3043049813652663,0.1367693481989184,0.22355139840974944,-0.17861776120801273,0.059416967402706036,0.06023165766054674,0.28149528933714085,-0.2073434435315287,0.3416609704189368,-0.0019814947828783345,0.5713940542022523,-0.18327047358797957,-0.10884309124379439,0.006329681011955533,0.35270320343071876,-0.07788989506209794,1.0,-0.14882653928077214,0.31906213870607825
PDHGT,-0.2937006640430768,0.5333382287928253,0.02250710470297915,-0.1308028526620458,0.38853209965572605,-0.04006910386573525,-0.634874955462706,-0.5865547356030192,-0.12750817700629316,0.6082732896175017,0.2969731857165605,0.4432097926705398,-0.10864949426902355,0.7345085801574668,-0.26958004266255003,0.03406138205240959,0.06747865972558492,0.6197424317305161,0.8993141546069147,0.5158578585093796,-0.19562963012753345,0.5517033124876446,-0.14882653928077214,1.0,-0.1913818602240201
FGA_nba,0.0854862279370491,-0.16345295706945245,0.7311753810568443,0.48509908697890614,-0.28647177311472954,-0.18978982368305405,0.2125953978303247,0.4978073175612117,0.8931299534424068,-0.3188992526982244,-0.058403524198835155,-0.2080285984927716,0.9806833492641827,-0.3618320701130385,0.062409043904687635,-0.1850959959421739,0.08825442170254158,-0.36597295898378496,-0.26225306401049137,-0.21805523696410883,0.8818258320560804,-0.2120949711132015,0.31906213870607825,-0.1913818602240201,1.0
