Player,POS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Label
Damian Lillard,PG,22.27,0.59,0.46,0.35,1.78,11.13,6.48,31.02,1.3,0.68,11.75,29.22,7.55,1.55,9.1,0.17,5.52,-0.97,4.58,4.2,69,69,36.25,8.12,18.53,0.44,3.19,8.58,0.37,4.96,9.93,0.5,0.52,5.95,6.61,0.9,0.58,3.7,4.28,6.82,0.97,0.31,2.84,1.85,25.36,Superstar
Damien Wilkins,SG-SF,10.64,0.5,0.22,0.28,4.49,9.65,7.02,10.31,1.91,0.94,12.28,16.11,0.6,0.64,1.21,0.05,-2.22,-0.2,-2.41,0.01,58,15,17.53,2.14,5.04,0.42,0.36,1.11,0.3,1.78,3.91,0.45,0.45,1.07,1.39,0.75,0.7,1.45,2.13,1.22,0.66,0.22,0.81,1.52,5.65,Role Player
D?Angelo Russell,PG-SG,16.25,0.55,0.5,0.22,1.61,10.79,6.14,31.3,1.68,1.05,14.21,26.49,1.16,1.06,2.21,0.07,1.83,-1.16,0.69,1.03,50,43,29.74,6.19,14.48,0.43,2.58,7.15,0.36,3.59,7.32,0.49,0.52,2.52,3.14,0.8,0.44,2.89,3.33,5.78,1.04,0.36,2.64,1.89,17.49,Starter
Danny Granger,NA,14.14,0.53,0.36,0.29,4.28,12.77,8.57,9.05,1.32,1.72,11.18,22.79,2.3,1.84,4.15,0.09,0.18,-0.33,-0.17,1.48,52,36,27.37,4.73,11.25,0.41,1.46,4.01,0.35,3.25,7.23,0.44,0.48,2.97,3.5,0.84,1.0,3.21,4.18,1.55,0.75,0.64,1.57,2.38,13.86,Starter
Danny Green,SG-SF,11.17,0.53,0.65,0.08,2.95,11.56,7.32,7.61,2.06,2.04,12.02,15.58,0.99,1.92,2.9,0.09,-0.86,1.02,0.17,1.2,50,42,20.53,2.51,6.01,0.39,1.57,3.95,0.37,0.95,2.05,0.43,0.52,0.45,0.56,0.82,0.51,2.21,2.72,1.19,0.84,0.57,0.86,1.55,7.02,Starter
Dante Cunningham,PF,11.32,0.52,0.2,0.15,6.28,14.89,10.55,4.99,1.58,1.86,8.37,13.58,0.85,1.25,2.09,0.08,-1.93,0.13,-1.78,0.05,62,17,20.83,2.54,5.42,0.47,0.34,1.01,0.18,2.21,4.41,0.51,0.51,0.51,0.78,0.66,1.13,2.66,3.8,0.69,0.63,0.47,0.52,1.72,5.96,Role Player
Dante Exum,SG,10.19,0.54,0.37,0.24,2.42,10.71,6.6,17.59,1.25,1.04,18.07,17.08,0.2,0.49,0.7,0.05,-2.57,-0.16,-2.73,-0.13,36,10,16.93,2.17,4.85,0.45,0.61,1.8,0.33,1.58,3.06,0.51,0.51,0.93,1.19,0.75,0.35,1.62,1.96,2.08,0.44,0.2,1.11,1.48,5.86,Bust
Darius Songaila,PF,11.9,0.53,0.01,0.22,6.55,14.27,10.38,9.39,1.59,0.81,14.05,17.45,1.08,0.92,1.99,0.07,-2.72,-0.39,-3.12,-0.01,62,10,17.42,2.72,5.42,0.5,0.0,0.04,0.09,2.72,5.39,0.5,0.5,0.96,1.19,0.81,1.01,2.14,3.16,1.06,0.57,0.21,0.96,2.34,6.41,Role Player
Darko Milicic,PF,8.56,0.44,0.01,0.23,7.1,18.52,12.82,7.51,1.28,4.96,19.81,18.76,-0.26,0.9,0.63,-0.02,-6.25,0.72,-5.52,-0.03,40,16,15.59,2.12,4.64,0.42,0.0,0.01,0.0,2.12,4.61,0.43,0.42,0.62,1.09,0.55,1.05,2.4,3.45,0.79,0.41,1.05,1.1,1.94,4.87,Bust
Darrell Arthur,PF,11.54,0.5,0.2,0.14,6.48,15.16,10.78,7.46,1.84,2.58,12.64,18.56,0.26,1.09,1.39,0.06,-2.69,0.18,-2.51,-0.03,56,12,16.54,2.54,5.72,0.44,0.36,1.0,0.23,2.17,4.72,0.47,0.48,0.64,0.84,0.74,0.99,2.21,3.21,0.8,0.59,0.56,0.82,2.28,6.06,Role Player
Darren Collison,PG,14.75,0.54,0.25,0.26,1.65,8.58,5.15,24.72,1.92,0.39,14.67,18.69,3.12,1.41,4.52,0.1,-0.02,-0.43,-0.44,1.22,65,47,28.09,4.3,9.19,0.45,0.84,2.23,0.35,3.45,6.99,0.5,0.5,2.17,2.57,0.85,0.42,2.14,2.56,4.63,1.07,0.15,1.82,1.73,11.6,Starter
