Player,POS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Label
Jeff Green,SF,13.14,0.56,0.34,0.3,3.28,12.71,8.03,8.24,1.12,1.44,10.01,19.37,1.43,1.41,2.84,0.09,-0.63,-0.61,-1.24,0.28,60,33,26.78,4.24,9.45,0.46,1.0,3.02,0.33,3.25,6.43,0.53,0.51,2.22,2.78,0.8,0.79,3.08,3.87,1.43,0.62,0.47,1.21,2.07,11.73,Role Player
Jeff Teague,PG,15.33,0.55,0.24,0.35,1.51,8.74,5.14,29.25,1.98,1.11,16.48,20.76,2.12,1.39,3.54,0.1,0.01,-0.42,-0.43,0.9,59,39,25.08,3.86,8.74,0.44,0.8,2.17,0.36,3.08,6.57,0.46,0.48,2.56,3.02,0.84,0.34,1.92,2.28,5.06,0.99,0.32,1.98,1.72,11.08,Starter
Jerami Grant,SF,12.65,0.55,0.34,0.41,2.88,12.69,7.67,8.05,1.09,3.61,10.28,19.6,1.56,1.48,3.05,0.07,-1.09,-0.08,-1.18,0.62,61,34,27.24,4.36,9.94,0.44,1.25,3.5,0.33,3.12,6.45,0.49,0.5,2.85,3.85,0.71,0.73,3.04,3.75,1.51,0.62,1.09,1.29,2.27,12.79,Role Player
Jeremy Lamb,SG,14.69,0.54,0.4,0.24,2.95,15.69,9.31,11.24,1.61,1.63,8.14,21.02,1.21,1.12,2.33,0.1,-0.03,-0.07,-0.12,0.68,52,11,19.2,3.28,7.63,0.42,1.0,2.96,0.33,2.28,4.69,0.48,0.49,1.57,1.82,0.86,0.5,2.82,3.32,1.47,0.66,0.38,0.76,1.47,9.12,Starter
Jerryd Bayless,PG-SG,11.59,0.51,0.32,0.29,1.83,9.99,5.89,22.3,1.39,0.41,15.25,20.97,0.77,0.76,1.52,0.05,-1.49,-0.88,-2.37,0.09,49,9,21.3,2.98,7.41,0.4,0.87,2.41,0.34,2.11,4.99,0.42,0.46,1.69,2.05,0.8,0.35,1.83,2.17,2.95,0.58,0.12,1.48,1.99,8.49,Bust
Jimmy Butler,SF,21.42,0.59,0.19,0.54,6.01,11.94,8.99,20.93,2.43,1.19,9.29,22.3,5.45,2.33,7.79,0.2,3.44,1.29,4.72,3.15,55,49,32.73,5.93,12.47,0.47,0.8,2.44,0.32,5.13,10.06,0.51,0.5,5.59,6.63,0.83,1.73,3.58,5.3,4.45,1.63,0.45,1.56,1.36,18.24,Superstar
JJ Redick,SG,13.65,0.59,0.54,0.25,0.82,8.06,4.51,12.35,0.85,0.29,10.25,20.16,2.76,0.87,3.63,0.11,0.88,-1.2,-0.32,0.88,56,26,23.96,3.92,8.92,0.43,1.92,4.74,0.4,2.02,4.19,0.47,0.54,1.98,2.21,0.89,0.17,1.73,1.89,1.96,0.42,0.09,1.09,1.44,11.73,Starter
Joakim Noah,PF,16.64,0.54,0.0,0.47,13.22,23.69,18.49,16.05,1.52,3.48,19.53,15.84,2.12,2.65,4.76,0.14,-0.42,2.02,1.6,1.61,52,39,24.39,2.9,5.92,0.49,0.0,0.01,0.0,2.9,5.88,0.49,0.49,1.8,2.61,0.66,2.85,5.22,8.07,2.57,0.69,1.12,1.56,2.57,7.58,Star
Jodie Meeks,SG,12.85,0.55,0.51,0.21,1.43,10.65,5.97,8.62,1.4,0.31,7.61,18.71,1.29,0.81,2.09,0.1,-0.37,-0.66,-1.04,0.35,50,17,19.18,2.76,6.62,0.41,1.28,3.37,0.37,1.48,3.24,0.46,0.51,1.32,1.5,0.88,0.24,1.66,1.91,1.02,0.58,0.08,0.63,1.03,8.12,Starter
Joe Harris,SG,9.7,0.58,0.68,0.1,1.87,11.54,6.78,9.54,0.82,0.56,12.27,15.36,1.53,0.76,2.31,0.06,-1.43,-0.83,-2.26,0.41,50,28,21.33,3.12,6.68,0.43,1.77,4.14,0.4,1.34,2.55,0.51,0.57,0.57,0.74,0.72,0.42,2.21,2.62,1.29,0.41,0.15,0.9,1.77,8.59,Role Player
Joe Ingles,SF,11.12,0.57,0.68,0.11,1.52,11.85,6.79,20.85,1.7,0.42,19.03,14.09,1.85,1.95,3.81,0.1,-1.03,1.04,0.0,1.19,66,29,22.87,2.6,5.86,0.43,1.6,3.98,0.39,0.99,1.89,0.51,0.56,0.58,0.74,0.78,0.3,2.55,2.85,3.42,0.78,0.12,1.36,1.67,7.37,Starter
Joe Johnson,SF-SG,15.0,0.54,0.3,0.16,2.56,10.4,6.5,16.94,1.17,0.44,10.95,20.68,2.48,1.26,3.74,0.09,1.03,-0.65,0.38,1.12,62,52,31.3,5.3,11.96,0.46,1.33,3.64,0.35,3.98,8.32,0.5,0.51,1.77,2.2,0.81,0.74,2.89,3.61,3.41,0.76,0.18,1.68,1.62,13.7,Starter
John Collins,PF,19.12,0.63,0.25,0.28,8.32,21.95,15.14,8.19,1.04,3.08,10.81,21.09,3.44,1.46,4.9,0.14,1.32,-0.51,0.8,1.14,59,51,29.49,6.42,11.78,0.55,1.1,2.99,0.36,5.34,8.79,0.61,0.59,2.61,3.28,0.79,2.25,5.94,8.2,1.51,0.64,1.02,1.59,3.06,16.58,Star
John Henson,PF,17.18,0.57,0.11,0.3,9.99,21.36,15.71,9.83,1.47,6.07,14.81,17.94,1.01,1.19,2.2,0.12,-1.02,1.12,0.12,0.37,48,17,17.97,2.96,5.44,0.54,0.14,0.48,0.15,2.82,4.98,0.58,0.56,0.92,1.64,0.55,1.59,3.38,4.98,1.13,0.51,1.29,1.06,2.09,6.97,Starter
John Lucas III,PG,9.48,0.4,0.35,0.14,1.65,4.76,3.2,19.66,2.45,0.02,8.11,19.82,0.15,0.26,0.43,0.01,-2.21,-0.03,-2.26,0.08,30,1,9.81,1.44,3.81,0.36,0.44,1.42,0.23,1.0,2.4,0.42,0.4,0.2,0.39,0.67,0.18,0.5,0.69,1.26,0.34,0.0,0.42,0.61,3.54,Bust
John Salmons,SF-SG,11.63,0.52,0.32,0.25,2.01,10.32,6.13,13.94,1.63,0.82,12.6,16.58,1.35,1.19,2.54,0.07,-1.03,0.18,-0.83,0.57,60,30,27.4,3.64,8.39,0.42,0.95,2.52,0.36,2.69,5.88,0.44,0.48,1.86,2.3,0.78,0.47,2.46,2.91,2.39,0.86,0.27,1.3,1.87,10.09,Role Player
John Wall,PG,18.44,0.51,0.21,0.35,1.81,11.48,6.59,41.08,2.21,1.69,16.97,27.94,1.83,2.22,4.04,0.08,2.07,-0.24,1.85,2.2,59,55,34.07,6.67,15.57,0.43,1.05,3.3,0.3,5.62,12.26,0.46,0.46,4.09,5.34,0.76,0.55,3.47,4.01,8.55,1.52,0.72,3.65,2.1,18.47,Star
Jon Leuer,PF,12.82,0.53,0.12,0.24,7.08,19.0,12.91,7.09,1.32,1.08,11.5,17.45,0.65,0.69,1.33,0.09,-1.92,-0.2,-2.16,0.19,40,8,13.16,2.02,4.27,0.49,0.2,0.66,0.2,1.83,3.61,0.52,0.5,0.71,0.98,0.68,0.82,2.24,3.05,0.62,0.3,0.2,0.62,1.4,4.95,Role Player
Jordan Clarkson,PG,15.75,0.54,0.4,0.2,3.31,9.57,6.45,17.4,1.43,0.53,11.02,26.14,1.27,0.76,2.03,0.06,1.11,-1.61,-0.51,0.51,60,16,26.54,5.77,13.17,0.44,1.85,5.39,0.34,3.93,7.79,0.51,0.51,2.19,2.65,0.83,0.81,2.34,3.15,2.84,0.76,0.16,1.79,1.6,15.59,Role Player
Jordan Farmar,PG,13.24,0.52,0.49,0.13,1.96,8.7,5.34,24.72,2.14,0.44,16.48,19.69,0.6,0.78,1.38,0.06,0.15,-0.56,-0.41,0.36,50,4,19.66,2.86,6.9,0.41,1.27,3.29,0.38,1.6,3.63,0.42,0.51,0.72,0.92,0.78,0.33,1.51,1.86,3.12,0.82,0.12,1.43,1.37,7.7,Role Player
Jordan Hill,PF-C,15.32,0.52,0.01,0.28,14.41,20.96,17.64,5.21,1.22,2.78,13.62,19.3,0.82,0.76,1.59,0.1,-1.97,-1.18,-3.14,-0.01,41,11,15.58,2.6,5.28,0.49,0.0,0.05,0.03,2.6,5.25,0.49,0.49,1.03,1.5,0.7,1.91,2.98,4.89,0.56,0.36,0.59,0.89,1.95,6.23,Bust
Josh Childress,SG-SF,12.5,0.54,0.13,0.29,6.92,12.89,9.86,9.26,1.68,1.19,21.86,12.24,2.48,0.75,3.22,0.09,-0.31,-0.06,-0.38,0.91,49,9,21.36,2.58,5.01,0.49,0.2,0.62,0.28,2.39,4.4,0.52,0.51,1.38,1.79,0.6,1.41,2.3,3.74,1.27,0.69,0.36,0.86,1.44,6.72,Role Player
Josh Hart,SG-SF,14.04,0.59,0.43,0.29,4.58,20.28,12.37,14.87,1.7,0.93,13.82,15.22,2.12,1.78,3.92,0.11,-0.17,0.8,0.62,1.1,55,33,30.83,4.1,8.42,0.49,1.28,3.6,0.36,2.84,4.81,0.58,0.56,1.85,2.46,0.75,1.31,5.68,6.98,3.38,1.08,0.33,1.54,2.45,11.31,Star
Josh Howard,SF-SG,14.93,0.5,0.18,0.3,5.67,14.4,10.05,8.38,1.8,1.26,9.43,23.17,1.71,1.56,3.25,0.09,-0.51,-0.41,-0.92,0.8,45,35,27.67,4.9,11.32,0.43,0.64,2.06,0.31,4.27,9.26,0.46,0.46,2.63,3.5,0.74,1.38,3.5,4.89,1.42,0.94,0.46,1.3,2.5,13.09,Role Player
Josh McRoberts,PF,11.03,0.49,0.29,0.19,6.39,16.85,11.63,14.09,1.38,1.48,14.64,14.08,0.82,0.76,1.59,0.07,-2.49,0.38,-2.12,0.36,38,15,16.38,1.79,3.92,0.43,0.34,1.03,0.26,1.46,2.87,0.51,0.47,0.62,0.85,0.69,0.94,2.45,3.38,1.68,0.44,0.35,0.8,1.68,4.52,Bust
Josh Smith,SG-SF,15.17,0.47,0.18,0.29,8.04,18.68,13.28,15.94,1.82,4.15,14.23,23.12,0.38,2.76,3.14,0.06,-0.97,0.82,-0.15,1.68,61,48,28.28,4.89,11.13,0.42,0.54,1.86,0.26,4.34,9.26,0.45,0.45,2.12,3.46,0.6,1.72,4.75,6.47,2.81,1.05,1.61,2.19,2.57,12.45,Starter
Jrue Holiday,PG-SG,17.06,0.55,0.31,0.17,3.22,10.56,6.92,29.59,2.17,1.29,15.16,22.64,2.44,2.22,4.66,0.1,1.42,0.16,1.59,1.94,65,60,32.87,6.19,13.43,0.46,1.52,4.09,0.37,4.69,9.34,0.5,0.52,1.88,2.37,0.8,0.96,3.21,4.17,6.27,1.44,0.52,2.56,2.15,15.79,Star
Julius Randle,PF,15.74,0.53,0.21,0.4,6.15,22.06,14.03,17.62,0.95,0.99,14.91,25.56,2.21,2.27,4.49,0.07,0.2,-0.76,-0.56,1.55,65,57,30.63,6.45,13.78,0.46,1.13,3.38,0.31,5.32,10.42,0.5,0.5,3.74,5.14,0.68,1.81,6.52,8.33,3.55,0.62,0.35,2.67,2.83,17.77,Starter
Justise Winslow,SF,10.45,0.46,0.25,0.21,5.31,17.97,11.66,15.55,1.8,1.75,14.27,18.34,-0.31,1.22,0.91,0.03,-3.2,0.62,-2.57,-0.01,39,14,25.18,3.32,8.32,0.41,0.57,2.1,0.26,2.78,6.26,0.45,0.44,1.08,1.73,0.63,1.17,3.97,5.14,2.71,0.9,0.44,1.45,2.3,8.32,Bust
Kawhi Leonard,SF,23.1,0.6,0.29,0.29,4.25,17.85,11.23,15.99,2.8,1.74,9.25,25.6,4.76,3.14,7.9,0.21,4.38,2.07,6.48,3.83,56,54,31.25,7.27,14.62,0.5,1.61,4.15,0.39,5.67,10.45,0.54,0.55,3.82,4.48,0.84,1.14,5.11,6.25,3.05,1.72,0.66,1.68,1.62,19.96,Superstar
Keith Bogans,SG,9.48,0.54,0.59,0.24,2.99,11.58,7.25,8.98,1.58,0.29,12.13,14.28,0.57,1.13,1.69,0.07,-1.79,0.05,-1.74,0.18,54,25,21.03,2.11,5.41,0.4,0.98,2.85,0.35,1.13,2.57,0.46,0.5,0.94,1.3,0.74,0.59,2.13,2.7,1.23,0.65,0.09,0.83,1.85,6.14,Role Player
Kelly Olynyk,PF-C,16.01,0.61,0.4,0.31,6.14,19.36,12.71,18.33,1.81,1.83,16.67,19.28,1.75,1.48,3.21,0.12,0.05,0.79,0.83,0.92,55,22,22.99,3.74,7.58,0.49,1.13,3.04,0.38,2.63,4.52,0.58,0.57,1.88,2.34,0.8,1.29,4.05,5.34,2.82,0.86,0.47,1.71,2.88,10.49,Star
Kelly Oubre,SF-SG,13.25,0.54,0.41,0.26,4.23,14.85,9.48,6.05,1.88,1.72,8.83,21.29,0.73,1.51,2.25,0.06,-1.32,-0.66,-1.98,0.09,60,28,27.55,5.05,11.46,0.44,1.53,4.74,0.32,3.51,6.73,0.52,0.5,2.28,3.02,0.75,1.08,3.63,4.72,1.15,1.07,0.57,1.18,2.64,13.89,Role Player
Kemba Walker,PG,18.26,0.54,0.41,0.28,1.85,11.02,6.38,26.68,1.73,0.97,10.17,26.11,3.21,1.78,5.0,0.11,2.75,-0.42,2.31,2.48,62,58,31.33,6.21,14.87,0.41,2.12,5.96,0.34,4.08,8.89,0.46,0.48,3.47,4.13,0.84,0.52,3.07,3.6,4.9,1.12,0.36,1.91,1.44,17.99,Star
Kenneth Faried,PF,20.12,0.59,0.03,0.4,14.36,23.06,18.68,5.77,1.35,2.66,11.28,19.59,2.75,1.42,4.16,0.17,1.21,-0.95,0.25,0.78,52,40,22.04,4.21,7.57,0.56,0.06,0.21,0.19,4.16,7.35,0.57,0.56,1.95,2.99,0.66,2.84,4.58,7.42,0.83,0.63,0.74,1.15,2.26,10.44,Starter
Kentavious Caldwell-Pope,SG,11.52,0.56,0.5,0.2,2.1,8.85,5.45,8.54,1.94,0.83,9.12,16.09,1.85,2.2,4.02,0.09,-1.42,0.46,-0.97,0.61,76,64,29.66,3.98,9.28,0.43,1.68,4.59,0.37,2.28,4.7,0.49,0.52,1.52,1.84,0.82,0.58,2.4,2.98,1.82,1.15,0.3,1.02,1.87,11.12,Starter
Kenyon Martin Jr.,SF-PF,13.66,0.51,0.03,0.31,6.95,19.02,13.02,9.16,1.91,2.87,13.03,18.27,0.8,2.4,3.23,0.09,-1.71,1.02,-0.69,0.81,50,44,28.39,4.49,9.21,0.49,0.06,0.33,0.18,4.41,8.91,0.5,0.49,1.67,2.95,0.6,1.71,4.8,6.51,1.61,1.02,0.99,1.59,3.25,10.73,Starter
Kevin Durant,SF-PF,25.01,0.63,0.28,0.39,1.91,18.83,10.68,21.34,1.31,2.65,12.67,29.95,6.83,2.75,9.59,0.2,5.97,0.72,6.68,4.83,62,61,36.24,9.44,18.45,0.51,2.04,5.08,0.4,7.41,13.38,0.56,0.57,6.33,7.17,0.88,0.61,6.34,6.94,4.45,0.96,1.17,3.14,1.87,27.26,Superstar
Kevin Love,PF,18.98,0.56,0.46,0.34,8.18,31.03,19.49,13.09,1.09,1.04,11.38,23.72,3.32,1.81,5.14,0.14,2.75,-0.44,2.29,1.95,53,38,27.27,4.89,11.49,0.42,1.74,4.88,0.34,3.14,6.59,0.49,0.5,3.43,4.15,0.83,2.08,7.38,9.45,2.19,0.58,0.34,1.66,1.86,14.93,Star
Kevon Looney,PF,15.12,0.58,0.07,0.29,14.02,21.52,17.83,10.53,1.37,2.51,12.45,12.77,2.24,1.52,3.75,0.16,-1.03,0.39,-0.65,0.62,60,26,15.31,1.89,3.37,0.55,0.04,0.19,0.17,1.84,3.19,0.57,0.56,0.63,1.03,0.62,1.87,3.07,4.98,1.35,0.45,0.46,0.53,1.91,4.41,Starter
Khris Middleton,SF,16.43,0.57,0.36,0.24,2.19,14.51,8.47,21.19,1.87,0.63,12.45,23.03,2.33,1.66,4.0,0.11,0.6,-0.04,0.55,1.15,54,46,28.47,5.55,12.06,0.46,1.66,4.39,0.38,3.89,7.68,0.51,0.53,2.54,2.91,0.87,0.55,3.9,4.46,3.9,1.09,0.19,1.94,2.39,15.31,Starter
Kirk Hinrich,PG-SG,11.38,0.5,0.4,0.18,1.29,9.64,5.48,23.11,1.75,0.66,15.82,16.35,1.39,1.9,3.3,0.08,-1.51,0.6,-0.92,0.8,59,43,27.64,3.43,8.3,0.4,1.17,3.06,0.37,2.27,5.24,0.41,0.47,1.32,1.65,0.8,0.32,2.3,2.61,4.15,0.98,0.25,1.61,2.54,9.34,Starter
Klay Thompson,SG,15.79,0.57,0.48,0.13,1.69,10.17,6.07,11.58,1.26,1.31,8.99,25.03,2.69,2.06,4.76,0.1,1.68,-1.27,0.4,1.43,72,68,31.88,7.12,15.83,0.45,3.15,7.67,0.41,3.97,8.18,0.48,0.55,1.72,2.01,0.86,0.48,3.06,3.52,2.32,0.81,0.51,1.62,1.94,19.11,Star
Kris Dunn,PG,10.79,0.47,0.25,0.17,2.16,13.87,7.96,24.18,2.91,1.81,17.43,17.18,0.06,1.28,1.31,0.03,-3.93,1.31,-2.62,0.24,45,25,22.84,3.13,7.24,0.4,0.54,1.71,0.28,2.59,5.54,0.45,0.44,0.94,1.23,0.75,0.47,2.87,3.32,4.01,1.38,0.42,1.61,2.76,7.74,Bust
Kris Humphries,PF,14.45,0.5,0.1,0.37,10.87,23.18,16.94,6.58,1.3,2.39,11.04,19.67,0.78,1.11,1.88,0.09,-1.66,-0.61,-2.26,0.04,51,12,17.03,2.47,5.66,0.44,0.16,0.54,0.14,2.31,5.11,0.45,0.45,1.43,2.02,0.71,1.65,3.53,5.17,0.71,0.42,0.54,0.83,1.82,6.56,Role Player
Kwame Brown,PF-C,11.38,0.51,0.0,0.63,9.22,20.62,14.89,6.89,1.39,2.02,17.94,15.24,0.45,1.09,1.52,0.06,-2.79,-0.11,-2.91,-0.1,46,21,20.57,2.26,4.54,0.5,0.0,0.0,0.08,2.26,4.52,0.5,0.5,1.44,2.76,0.51,1.64,3.59,5.24,0.91,0.56,0.56,1.26,2.24,5.94,Bust
Kyle Anderson,SF,13.78,0.53,0.2,0.25,4.15,17.99,11.11,17.44,2.18,2.52,13.07,14.68,1.2,2.05,3.25,0.12,-1.02,2.45,1.42,1.19,60,24,20.54,2.58,5.44,0.47,0.39,1.15,0.33,2.2,4.28,0.5,0.5,1.0,1.41,0.71,0.8,3.35,4.14,2.65,0.92,0.61,0.92,1.52,6.58,Star
Kyle Korver,SF,12.44,0.6,0.63,0.16,1.24,11.66,6.51,10.02,1.23,1.01,11.54,16.64,2.12,1.5,3.63,0.11,0.42,-0.03,0.37,1.01,63,19,24.38,3.28,7.4,0.44,1.96,4.59,0.43,1.31,2.82,0.47,0.58,1.03,1.16,0.87,0.25,2.55,2.8,1.62,0.6,0.3,1.02,1.98,9.53,Starter
Kyle Kuzma,SF-SG,13.0,0.54,0.4,0.21,3.49,17.94,10.81,12.82,0.88,1.32,12.42,24.38,-0.34,1.66,1.34,0.03,-1.02,-1.29,-2.29,0.07,61,47,30.83,6.31,14.1,0.45,1.83,5.57,0.33,4.48,8.52,0.52,0.51,2.12,3.0,0.7,0.98,5.19,6.18,2.59,0.56,0.48,2.19,2.02,16.55,Bust
Kyle O'Quinn,PF,17.56,0.55,0.1,0.23,10.31,25.58,17.95,15.99,1.36,5.39,16.62,18.45,0.96,1.29,2.24,0.13,-1.05,1.89,0.82,0.64,59,8,13.62,2.16,4.24,0.51,0.08,0.34,0.15,2.1,3.88,0.54,0.52,0.72,0.99,0.72,1.25,3.11,4.38,1.36,0.39,0.92,0.92,1.95,5.16,Starter
Kyrie Irving,PG,22.4,0.59,0.34,0.23,2.73,10.81,6.79,28.74,1.82,1.17,10.67,29.26,4.57,1.58,6.14,0.16,4.82,-0.29,4.55,2.96,52,52,34.86,8.96,18.74,0.48,2.54,6.48,0.39,6.42,12.26,0.52,0.54,3.91,4.37,0.89,0.87,3.42,4.29,5.62,1.29,0.49,2.44,2.37,24.36,Superstar
LaMarcus Aldridge,PF-C,19.96,0.55,0.07,0.25,7.88,18.37,13.16,10.21,1.04,3.07,8.16,24.86,4.07,2.41,6.48,0.14,1.59,-0.22,1.38,1.88,61,57,32.21,7.29,14.81,0.49,0.35,0.97,0.27,6.94,13.85,0.5,0.51,3.14,3.83,0.83,2.26,5.28,7.53,1.93,0.66,1.16,1.46,2.33,18.08,Star
Lance Stephenson,SG,10.69,0.49,0.23,0.19,2.26,16.05,9.15,21.53,1.26,0.49,17.61,19.44,0.14,1.04,1.2,0.03,-2.71,-0.35,-3.08,0.12,40,13,20.01,3.02,6.79,0.44,0.47,1.56,0.26,2.56,5.23,0.49,0.47,0.94,1.31,0.67,0.45,2.88,3.33,2.81,0.49,0.12,1.49,1.84,7.45,Bust
Larry Nance,PF,16.37,0.6,0.21,0.23,8.79,20.49,14.55,10.76,2.39,2.08,12.01,14.11,1.84,1.21,3.06,0.14,0.06,1.0,1.05,0.89,47,12,22.71,3.21,5.96,0.54,0.45,1.29,0.31,2.74,4.68,0.59,0.58,0.96,1.36,0.71,1.82,4.16,5.98,1.74,1.11,0.53,0.9,2.1,7.84,Star
LeBron James,SF-SG,26.74,0.59,0.24,0.38,3.54,19.2,11.5,36.78,2.0,1.58,13.4,31.51,8.53,3.8,12.34,0.22,6.8,1.65,8.44,7.12,71,71,37.58,9.93,19.6,0.51,1.68,4.8,0.35,8.26,14.79,0.56,0.55,5.45,7.42,0.74,1.14,6.42,7.54,7.42,1.48,0.73,3.51,1.78,27.0,Superstar
Lou Amundson,PF,8.31,0.41,0.0,0.47,14.83,15.34,15.11,4.32,1.26,3.29,16.74,13.75,-0.02,0.39,0.41,0.02,-4.59,-1.62,-6.22,-0.16,29,4,9.64,0.97,2.24,0.41,0.0,0.0,0.0,0.97,2.24,0.41,0.41,0.41,1.01,0.4,1.19,1.54,2.72,0.36,0.28,0.49,0.54,1.52,2.35,Bust
Luc Mbah a Moute,SF,9.83,0.51,0.18,0.34,5.96,11.7,8.79,5.29,1.94,1.24,12.99,13.01,0.49,1.44,1.93,0.06,-2.55,0.44,-2.12,0.13,54,33,20.97,2.19,4.82,0.45,0.26,0.84,0.25,1.93,3.96,0.5,0.48,1.01,1.6,0.63,1.19,2.29,3.48,0.81,0.81,0.34,0.82,1.64,5.64,Bust
Luke Babbitt,SF-PF,8.79,0.52,0.63,0.1,2.49,15.97,9.12,6.43,0.76,0.95,9.15,16.25,0.44,0.35,0.8,0.04,-2.0,-1.39,-3.38,-0.03,43,12,13.62,1.66,4.17,0.39,0.99,2.64,0.37,0.65,1.54,0.38,0.51,0.32,0.44,0.72,0.29,1.86,2.15,0.6,0.22,0.16,0.44,1.25,4.65,Bust
Luke Kennard,SG-SF,13.06,0.63,0.62,0.13,1.37,11.81,6.57,13.52,1.11,0.44,10.82,16.34,1.68,1.02,2.7,0.11,0.46,-0.37,0.09,0.62,52,14,23.85,3.56,7.69,0.47,2.12,4.73,0.45,1.43,2.97,0.48,0.61,0.92,1.05,0.89,0.31,2.55,2.86,2.31,0.52,0.12,0.99,1.39,10.16,Starter
Luke Ridnour,PG,12.69,0.5,0.27,0.19,1.96,8.25,5.04,26.48,1.84,0.61,15.63,17.79,1.74,0.83,2.59,0.06,-1.04,-0.46,-1.5,0.49,64,36,24.5,3.24,7.6,0.42,0.66,1.97,0.34,2.56,5.64,0.45,0.47,1.31,1.53,0.81,0.42,1.72,2.12,4.15,0.9,0.19,1.52,2.04,8.46,Role Player
Luke Walton,SF-PF,9.55,0.46,0.26,0.14,5.64,12.69,9.14,19.12,1.52,0.63,20.09,14.08,0.37,0.73,1.1,0.04,-2.32,0.01,-2.33,0.16,50,12,15.44,1.58,3.77,0.4,0.29,0.9,0.31,1.29,2.86,0.44,0.44,0.47,0.67,0.67,0.74,1.72,2.48,2.02,0.46,0.14,0.98,1.38,3.9,Bust
Luol Deng,SF,14.59,0.52,0.19,0.27,5.05,13.79,9.42,11.31,1.64,0.97,11.66,19.85,2.18,2.44,4.63,0.1,0.25,0.26,0.5,1.43,57,52,32.39,5.29,11.71,0.45,0.7,2.15,0.32,4.58,9.56,0.49,0.48,2.58,3.32,0.77,1.49,4.08,5.57,2.22,0.97,0.42,1.58,1.55,13.82,Starter
Malcolm Brogdon,SG,16.84,0.57,0.34,0.24,3.01,12.69,7.87,24.78,1.31,0.7,11.36,22.61,2.49,1.2,3.7,0.11,1.66,-0.53,1.12,1.24,51,33,29.11,5.64,12.3,0.46,1.59,4.2,0.38,4.04,8.1,0.5,0.52,2.59,2.96,0.87,0.79,3.39,4.19,4.76,0.77,0.26,1.72,1.82,15.43,Star
Malik Allen,PF-C,10.39,0.47,0.01,0.14,8.11,13.98,11.01,5.66,0.91,2.44,10.34,16.66,-0.07,0.69,0.64,0.06,-3.16,-0.15,-3.34,-0.27,42,10,14.21,1.99,4.46,0.45,0.0,0.02,0.27,1.99,4.43,0.45,0.45,0.51,0.61,0.8,0.99,1.72,2.71,0.49,0.26,0.46,0.56,1.78,4.5,Bust
Malik Beasley,SG,12.28,0.55,0.6,0.11,2.03,11.24,6.64,8.68,1.45,0.45,8.28,20.52,0.83,0.91,1.75,0.06,-0.27,-1.15,-1.42,0.3,55,19,23.47,4.33,10.17,0.42,2.42,6.28,0.38,1.91,3.88,0.49,0.54,0.81,1.03,0.77,0.41,2.49,2.93,1.39,0.66,0.1,0.93,1.32,11.89,Role Player
Marcin Gortat,PF-C,16.81,0.57,0.0,0.27,10.91,25.21,18.09,6.74,0.95,3.37,12.58,16.74,2.56,2.27,4.84,0.14,-0.37,0.5,0.14,1.01,63,43,23.7,3.88,7.06,0.54,0.0,0.01,0.25,3.88,7.04,0.55,0.54,1.32,1.94,0.68,2.04,5.34,7.39,1.03,0.44,1.01,1.1,2.11,9.09,Star
Marcus Morris,PF-SF,11.84,0.53,0.42,0.21,3.65,14.45,9.04,7.49,1.21,1.07,9.86,19.74,1.1,1.31,2.41,0.07,-1.16,-0.72,-1.88,0.39,54,32,24.18,3.94,9.11,0.43,1.45,3.81,0.36,2.5,5.31,0.47,0.5,1.47,1.94,0.75,0.77,3.23,3.98,1.26,0.59,0.3,1.07,2.03,10.81,Role Player
Marcus Smart,PG,12.38,0.52,0.53,0.27,2.8,9.41,6.11,21.62,2.64,1.08,15.63,18.75,0.72,1.97,2.68,0.08,-1.6,0.88,-0.74,0.6,51,30,27.81,3.57,9.12,0.39,1.59,4.87,0.33,1.98,4.25,0.47,0.48,1.86,2.41,0.77,0.72,2.44,3.15,4.31,1.51,0.35,1.88,2.37,10.59,Starter
Marcus Thornton,PG-SG,14.49,0.51,0.42,0.18,3.93,10.78,7.31,10.01,1.99,0.42,8.57,23.36,1.19,0.6,1.78,0.07,0.64,-0.86,-0.22,0.54,46,12,21.64,3.99,9.58,0.41,1.39,3.98,0.34,2.59,5.61,0.46,0.48,1.46,1.79,0.82,0.76,1.94,2.7,1.34,0.83,0.13,0.98,1.41,10.83,Role Player
Mark Madsen,PF,6.38,0.43,0.02,0.51,11.96,12.56,12.28,4.81,1.04,1.34,19.18,9.87,0.37,0.53,0.91,0.04,-4.66,-0.74,-5.41,-0.32,50,8,11.08,0.73,1.68,0.41,0.0,0.02,0.25,0.73,1.66,0.42,0.41,0.42,0.8,0.46,1.16,1.22,2.38,0.37,0.26,0.22,0.46,1.8,1.87,Bust
Markieff Morris,PF,11.03,0.5,0.41,0.16,4.5,17.47,10.97,11.07,1.33,1.5,11.64,20.39,0.32,0.99,1.29,0.04,-2.5,-0.55,-3.06,0.06,43,19,19.31,3.18,7.45,0.41,0.86,2.59,0.33,2.3,4.88,0.46,0.48,1.08,1.38,0.8,0.85,3.03,3.88,1.38,0.56,0.37,1.12,2.23,8.3,Bust
