,PER_nba,TS%_nba,3PAr_nba,FTr_nba,ORB%_nba,DRB%_nba,TRB%_nba,AST%_nba,STL%_nba,BLK%_nba,TOV%_nba,USG%_nba,OWS_nba,DWS_nba,WS_nba,OBPM_nba,DBPM_nba,BPM_nba,FG_nba,FGA_nba,FG%_nba,3P_nba,3PA_nba,3P%_nba,2P_nba,2PA_nba,2P%_nba,eFG%_nba,FT_nba,FTA_nba,FT%_nba,ORB_nba,DRB_nba,TRB_nba,AST_nba,STL_nba,BLK_nba,TOV_nba,PF_nba,PTS_nba
ORB_nba,0.5264811794815445,0.3736382996463113,,0.621094513401927,0.8849409087398465,0.767715337625683,0.8516916824098789,,,0.6033777225288387,,,,,,,,,,,0.7158982741354225,,,,,,0.5995903005912807,0.4191727751966777,,,,1.0,0.7299696046993734,0.8812412646831295,,,0.6302170877507893,,0.43056008103692234,
OWS_nba,0.7991471362177258,0.5739161302161391,,,,,,,,,,,1.0,0.494997815797806,0.9500376333684913,0.8509684887947512,,0.802021161034088,0.6309772463912446,0.521788195881041,,,,,0.6628922834158671,0.594998217962346,,0.42199118630959276,0.7483891602571274,0.7218513560279555,,,,,,,,,,0.6492608626460729
PBHGT,,0.3938698418709598,,0.4752823653685703,0.6822363146086086,0.6813561062488669,0.712049197435888,,,0.6635075467855477,,,,,,,,,,,0.5972153958982552,,,,,,0.5573446146511413,0.44545875612009944,,,,0.6517366004192697,,0.5584466172834146,,,0.6077845297645129,,0.36905404399712144,
PDHGT,,,,0.4503944347576577,,0.6082732896175016,,,,0.5716786733726176,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5355952371066333,,,
PER_nba,1.0,0.5896262098305686,,0.5748878448291002,,,,,,,,0.549541494666997,0.7991471362177258,0.5106249884859358,0.8010793246138221,0.8448821730215978,,0.8289255483219738,0.6430743960990356,,0.6058399433754155,,,,0.7851819019589459,0.7003791016681071,,0.45154872271843255,0.7045195955297172,0.7365783339917045,,,0.5695953301491906,0.5926420870571333,,,,,,0.6188331427483003
PF_college,,,,,,,,,,,0.275233683182679,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4872730583383696,
PF_nba,,,,,,,,,,,0.35845646639523,,,0.4958164075619841,,,,,,,,,,,,,,,,,,,0.5734946809148245,0.5584360011892086,,,0.48848892338998723,0.5110883724945307,1.0,
PTS_nba,0.6188331427483003,,,,,,,0.44862616083379714,,,,0.8639065434627776,0.6492608626460729,0.5237420907170421,0.689328288312215,0.8033306851609875,,0.6343785467033651,0.9903887502605874,0.9806833492641827,,0.7139095705471554,0.722615527430685,0.3168115553266751,0.8709398536985464,0.9034698809523839,,,0.8738618999974436,0.8410035726591598,0.3974684824777659,,,,0.6418914744163817,0.5207238897433709,,0.8199289411601203,,1.0
STL%_college,,,0.13109223879738555,,,,,0.41501738541873867,0.7115561520175535,,,,,,,,0.2959544616628374,,,,,,,,,,,,,,,,,,,0.660822516966183,,,,
STL%_nba,,,,,,,,0.3972803794152936,1.0,,0.22649440977618565,,,,,,0.6283479576785445,,,,,,,,,,,,,,,,,,,0.8155896461688448,,,,
