Season,Team,Conf_per_game,Class_per_game,Pos_per_game,G_per_game,GS_per_game,MP_per_game,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_per_game,PlayerName_per_game,CollegeID_per_game,Conf_adv,Class_adv,Pos_adv,G_adv,GS_adv,MP_adv,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_adv,PlayerName_adv,CollegeID_adv,PlayerName,CollegeID
2014-15,Washington,Pac-12,SR,F,27,26,26.3,4.1,6.7,0.608,0.0,0.0,4.1,6.7,0.608,0.608,1.6,2.7,0.597,1.9,1.7,3.5,0.2,0.3,0.7,1.1,2.4,9.7,,Shawn Kemp,shawn-kemp-1,Pac-12,SR,F,27,26,709,16.7,0.611,0.0,0.398,232,8.3,7.0,7.6,1.8,0.6,2.6,12.2,18.0,1.5,0.5,2.0,0.114,1.6,-0.1,1.5,,Shawn Kemp,shawn-kemp-1,Shawn Kemp,shawn-kemp-1
2015-16,Duke,ACC,FR,G,36,11,26.7,3.9,9.3,0.421,1.5,4.8,0.32,2.4,4.5,0.528,0.503,2.4,2.8,0.889,1.0,2.6,3.6,1.5,0.9,0.2,0.8,1.9,11.8,,Luke Kennard,luke-kennard-1,ACC,FR,G,36,11,961,19.5,0.556,0.513,0.296,401,4.1,10.7,7.4,10.8,2.1,0.6,6.8,21.3,2.9,0.9,3.8,0.157,4.3,1.5,5.8,,Luke Kennard,luke-kennard-1,Luke Kennard,luke-kennard-1
2016-17,Duke,ACC,SO,G,37,36,35.5,6.4,13.1,0.489,2.4,5.4,0.438,4.0,7.7,0.525,0.579,4.3,5.1,0.856,1.2,3.9,5.1,2.5,0.8,0.4,1.6,2.2,19.5,"AA-2,AP-AA-2,NABC-AA-2,SN-AA-2,USBWA-AA-2,W-AA-1",Luke Kennard,luke-kennard-1,ACC,SO,G,37,36,1314,24.4,0.629,0.414,0.386,672,3.9,12.1,8.2,13.6,1.4,0.9,9.3,24.0,5.5,1.6,7.1,0.217,8.4,2.0,10.3,"AA-2,AP-AA-2,NABC-AA-2,SN-AA-2,USBWA-AA-2,W-AA-1",Luke Kennard,luke-kennard-1,Luke Kennard,luke-kennard-1
2020-21,North Carolina,ACC,FR,F,29.0,0.0,8.8,1.8,3.1,0.578,0.0,0.1,0.25,1.8,3.0,0.593,0.583,0.8,1.4,0.537,1.6,1.7,3.2,0.3,0.5,0.9,0.6,1.2,4.4,,Walker Kessler,walker-kessler-1,ACC,FR,F,29.0,0.0,254.0,31.1,0.58,0.044,0.456,120.0,18.4,21.0,19.6,7.3,3.3,10.7,12.8,22.5,0.8,0.7,1.5,0.232,5.7,5.3,10.9,,Walker Kessler,walker-kessler-1,Walker Kessler,walker-kessler-1
2021-22,Auburn,SEC,SO,F,34.0,34.0,25.6,4.8,7.9,0.608,0.3,1.5,0.2,4.5,6.4,0.702,0.627,1.6,2.6,0.596,2.6,5.4,8.1,0.9,1.1,4.6,1.1,2.6,11.4,"AP-AA-3,USBWA-AA-3",Walker Kessler,walker-kessler-1,SEC,SO,F,34.0,34.0,871.0,31.4,0.627,0.187,0.332,360.0,10.9,22.2,16.6,6.9,2.4,19.1,10.7,19.0,2.8,2.7,5.5,0.254,6.2,8.0,14.1,"AP-AA-3,USBWA-AA-3",Walker Kessler,walker-kessler-1,Walker Kessler,walker-kessler-1
2016-17,Alabama,SEC,FR,F,34.0,30.0,29.8,4.1,9.4,0.433,0.9,2.9,0.33,3.1,6.6,0.478,0.483,2.9,4.5,0.634,1.6,4.1,5.7,2.5,0.6,0.6,3.1,2.5,12.0,,Braxton Key,braxton-key-1,SEC,FR,F,34.0,30.0,1012.0,14.8,0.517,0.302,0.477,412.0,6.0,15.3,10.7,18.9,1.2,2.3,21.2,24.9,0.7,2.0,2.7,0.108,1.6,2.5,4.1,,Braxton Key,braxton-key-1,Braxton Key,braxton-key-1
2017-18,Alabama,SEC,SO,F,26.0,17.0,25.2,2.5,6.1,0.409,0.6,2.5,0.25,1.9,3.7,0.516,0.459,1.4,2.1,0.667,1.4,3.9,5.3,1.8,1.0,0.4,1.8,2.0,7.0,,Braxton Key,braxton-key-1,SEC,SO,F,26.0,17.0,656.0,12.9,0.493,0.403,0.34,200.0,6.7,16.5,11.8,13.7,2.3,1.8,19.9,17.6,0.3,1.1,1.4,0.088,1.0,3.3,4.3,,Braxton Key,braxton-key-1,Braxton Key,braxton-key-1
2018-19,Virginia,ACC,JR,F,38.0,6.0,19.8,1.9,4.5,0.433,0.5,1.6,0.305,1.5,2.9,0.5,0.485,1.3,1.8,0.731,1.3,3.9,5.3,1.0,0.9,0.6,0.7,1.7,5.7,,Braxton Key,braxton-key-1,ACC,JR,F,38.0,6.0,751.0,19.7,0.53,0.345,0.392,232.0,8.9,23.5,16.6,9.4,3.2,3.7,12.1,17.6,1.5,2.2,3.8,0.202,3.6,5.7,9.3,,Braxton Key,braxton-key-1,Braxton Key,braxton-key-1
2019-20,Virginia,ACC,SR,F,27.0,25.0,33.6,3.7,8.6,0.435,0.4,2.4,0.185,3.3,6.2,0.533,0.461,1.9,3.3,0.584,1.7,5.7,7.4,1.8,1.2,0.6,1.8,1.6,9.9,,Braxton Key,braxton-key-1,ACC,SR,F,27.0,25.0,906.0,16.4,0.485,0.28,0.384,270.0,6.5,20.3,13.7,13.4,2.3,2.4,14.9,20.8,0.7,2.6,3.4,0.148,1.1,4.7,5.8,,Braxton Key,braxton-key-1,Braxton Key,braxton-key-1
2012-13,North Carolina Central,MEAC,JR,F,31,31,32.2,5.6,10.1,.553,0.6,1.6,.373,5.0,8.5,.588,.583,2.7,3.8,.697,2.4,4.5,6.9,1.0,1.0,0.6,2.1,2.7,14.5,,Stanton Kidd,stanton-kidd-1,MEAC,JR,F,31,31,997,21.9,.606,.163,.380,405,10.3,18.0,14.2,7.9,2.0,2.2,14.8,23.4,2.7,2.5,5.2,.208,2.1,0.4,2.5,,Stanton Kidd,stanton-kidd-1,Stanton Kidd,stanton-kidd-1
